Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,1.92012e-06,
Filter Frequency,290000,
Record Length,5207,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,2,
Label,,
TIME,CH1,CH1 Peak Detect
-6.200e-04,-4.12,-4.2
-6.181e-04,-4.04,-3.96
-6.162e-04,-4.12,-4.28
-6.142e-04,-4.12,-4.04
-6.123e-04,-4.2,-4.28
-6.104e-04,-4.12,-4.04
-6.085e-04,-4.12,-4.2
-6.066e-04,-4.12,-4.04
-6.046e-04,-4.12,-4.2
-6.027e-04,-4.12,-3.96
-6.008e-04,-4.12,-4.36
-5.989e-04,-4.2,-4.04
-5.970e-04,-4.28,-4.36
-5.950e-04,-4.28,-4.12
-5.931e-04,-4.28,-4.28
-5.912e-04,-4.2,-4.12
-5.893e-04,-4.2,-4.36
-5.874e-04,-4.2,-4.12
-5.854e-04,-4.28,-4.36
-5.835e-04,-4.28,-4.2
-5.816e-04,-4.28,-4.44
-5.797e-04,-4.36,-4.2
-5.778e-04,-4.36,-4.44
-5.758e-04,-4.28,-4.04
-5.739e-04,-4.12,-4.2
-5.720e-04,-4.04,-3.88
-5.701e-04,-4.04,-4.36
-5.682e-04,-4.12,-4.04
-5.662e-04,-4.28,-4.44
-5.643e-04,-4.36,-4.2
-5.624e-04,-4.28,-4.44
-5.605e-04,-4.36,-4.28
-5.586e-04,-4.36,-4.52
-5.566e-04,-4.36,-4.28
-5.547e-04,-4.36,-4.36
-5.528e-04,-4.28,-4.12
-5.509e-04,-4.2,-4.36
-5.490e-04,-4.28,-4.12
-5.470e-04,-4.28,-4.44
-5.451e-04,-4.36,-4.2
-5.432e-04,-4.28,-4.36
-5.413e-04,-4.28,-4.12
-5.394e-04,-4.2,-4.36
-5.374e-04,-4.28,-4.12
-5.355e-04,-4.28,-4.36
-5.336e-04,-4.28,-4.12
-5.317e-04,-4.2,-4.44
-5.298e-04,-4.36,-4.2
-5.278e-04,-4.36,-4.6
-5.259e-04,-4.44,-4.36
-5.240e-04,-4.52,-4.6
-5.221e-04,-4.44,-4.28
-5.202e-04,-4.36,-4.36
-5.182e-04,-4.2,-3.96
-5.163e-04,-4.04,-4.12
-5.144e-04,-3.88,-3.8
-5.125e-04,-4.04,-4.28
-5.106e-04,-4.04,-3.96
-5.086e-04,-4.2,-4.52
-5.067e-04,-4.36,-4.2
-5.048e-04,-4.44,-4.44
-5.029e-04,-4.28,-4.04
-5.010e-04,-4.12,-4.44
-4.990e-04,-4.2,-4.04
-4.971e-04,-4.36,-4.68
-4.952e-04,-4.44,-4.28
-4.933e-04,-4.6,-4.68
-4.914e-04,-4.6,-4.44
-4.894e-04,-4.6,-4.6
-4.875e-04,-4.52,-4.28
-4.856e-04,-4.36,-4.44
-4.837e-04,-4.28,-4.04
-4.818e-04,-4.12,-4.2
-4.798e-04,-4.12,-4.04
-4.779e-04,-4.12,-4.36
-4.760e-04,-4.2,-4.12
-4.741e-04,-4.28,-4.36
-4.722e-04,-4.2,-3.88
-4.702e-04,-3.96,-4.04
-4.683e-04,-3.8,-3.72
-4.664e-04,-3.8,-4.04
-4.645e-04,-3.88,-3.72
-4.625e-04,-3.96,-4.52
-4.606e-04,-4.2,-3.96
-4.587e-04,-4.36,-4.6
-4.568e-04,-4.52,-4.36
-4.549e-04,-4.52,-4.68
-4.529e-04,-4.6,-4.36
-4.510e-04,-4.44,-4.44
-4.491e-04,-4.2,-4.04
-4.472e-04,-4.12,-4.6
-4.453e-04,-4.36,-4.12
-4.433e-04,-4.52,-4.76
-4.414e-04,-4.68,-4.52
-4.395e-04,-4.68,-4.76
-4.376e-04,-4.6,-4.44
-4.357e-04,-4.52,-4.52
-4.337e-04,-4.36,-4.2
-4.318e-04,-4.28,-4.6
-4.299e-04,-4.36,-4.2
-4.280e-04,-4.44,-4.6
-4.261e-04,-4.52,-4.36
-4.241e-04,-4.44,-4.44
-4.222e-04,-4.28,-4.04
-4.203e-04,-4.12,-4.28
-4.184e-04,-4.12,-3.96
-4.165e-04,-4.04,-4.12
-4.145e-04,-4.12,-3.96
-4.126e-04,-4.04,-4.12
-4.107e-04,-3.96,-3.88
-4.088e-04,-3.96,-4.04
-4.069e-04,-3.96,-3.8
-4.049e-04,-3.88,-4.04
-4.030e-04,-3.96,-3.8
-4.011e-04,-3.96,-4.12
-3.992e-04,-3.96,-3.88
-3.973e-04,-3.96,-4.36
-3.953e-04,-4.12,-3.96
-3.934e-04,-4.28,-4.44
-3.915e-04,-4.36,-4.2
-3.896e-04,-4.28,-4.36
-3.877e-04,-4.2,-3.96
-3.857e-04,-4.04,-4.44
-3.838e-04,-4.12,-3.96
-3.819e-04,-4.36,-4.6
-3.800e-04,-4.52,-4.36
-3.781e-04,-4.44,-4.52
-3.761e-04,-4.36,-4.28
-3.742e-04,-4.36,-4.52
-3.723e-04,-4.44,-4.28
-3.704e-04,-4.36,-4.44
-3.685e-04,-4.28,-4.12
-3.665e-04,-4.2,-4.28
-3.646e-04,-4.12,-4.04
-3.627e-04,-4.12,-4.52
-3.608e-04,-4.28,-4.12
-3.589e-04,-4.44,-4.68
-3.569e-04,-4.52,-4.36
-3.550e-04,-4.6,-4.76
-3.531e-04,-4.68,-4.52
-3.512e-04,-4.6,-4.6
-3.493e-04,-4.44,-4.12
-3.473e-04,-4.2,-4.28
-3.454e-04,-4.12,-4.04
-3.435e-04,-4.12,-4.52
-3.416e-04,-4.28,-4.12
-3.397e-04,-4.36,-4.52
-3.377e-04,-4.44,-4.36
-3.358e-04,-4.44,-4.76
-3.339e-04,-4.52,-4.36
-3.320e-04,-4.6,-4.92
-3.301e-04,-4.76,-4.6
-3.281e-04,-4.84,-5
-3.262e-04,-4.92,-4.76
-3.243e-04,-4.92,-5.08
-3.224e-04,-4.92,-4.68
-3.205e-04,-4.84,-4.84
-3.185e-04,-4.6,-4.36
-3.166e-04,-4.44,-4.52
-3.147e-04,-4.36,-4.28
-3.128e-04,-4.44,-4.6
-3.109e-04,-4.52,-4.36
-3.089e-04,-4.44,-4.44
-3.070e-04,-4.36,-4.28
-3.051e-04,-4.36,-4.68
-3.032e-04,-4.44,-4.28
-3.013e-04,-4.52,-4.76
-2.993e-04,-4.6,-4.52
-2.974e-04,-4.68,-4.76
-2.955e-04,-4.6,-4.52
-2.936e-04,-4.6,-4.68
-2.917e-04,-4.6,-4.52
-2.897e-04,-4.6,-4.6
-2.878e-04,-4.52,-4.2
-2.859e-04,-4.36,-4.36
-2.840e-04,-4.2,-4.12
-2.821e-04,-4.2,-4.28
-2.801e-04,-4.04,-3.96
-2.782e-04,-4.04,-4.2
-2.763e-04,-4.04,-3.88
-2.744e-04,-4.12,-4.52
-2.725e-04,-4.28,-4.12
-2.705e-04,-4.36,-4.52
-2.686e-04,-4.44,-4.36
-2.667e-04,-4.44,-4.44
-2.648e-04,-4.28,-4.12
-2.629e-04,-4.2,-4.44
-2.609e-04,-4.2,-4.12
