Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0004,
Sample Interval,7.68049e-07,
Filter Frequency,290000,
Record Length,5207,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,2,
Label,,
TIME,CH1,CH1 Peak Detect
-3.7600e-04,-4.08,-4.16
-3.7523e-04,-4.08,-3.92
-3.7446e-04,-4.08,-4.16
-3.7370e-04,-4.08,-3.92
-3.7293e-04,-4,-4.16
-3.7216e-04,-4,-3.92
-3.7139e-04,-4.08,-4.16
-3.7062e-04,-4,-3.92
-3.6986e-04,-4,-4.24
-3.6909e-04,-4,-4
-3.6832e-04,-4.08,-4.4
-3.6755e-04,-4.16,-4.08
-3.6678e-04,-4.16,-4.56
-3.6602e-04,-4.24,-4.24
-3.6525e-04,-4.32,-4.64
-3.6448e-04,-4.4,-4.4
-3.6371e-04,-4.48,-4.72
-3.6294e-04,-4.56,-4.48
-3.6218e-04,-4.56,-4.64
-3.6141e-04,-4.56,-4.32
-3.6064e-04,-4.56,-4.4
-3.5987e-04,-4.4,-4.16
-3.5910e-04,-4.32,-4.4
-3.5833e-04,-4.32,-4.16
-3.5757e-04,-4.24,-4.4
-3.5680e-04,-4.24,-4.16
-3.5603e-04,-4.24,-4.4
-3.5526e-04,-4.32,-4.24
-3.5449e-04,-4.32,-4.4
-3.5373e-04,-4.32,-4.16
-3.5296e-04,-4.24,-4.24
-3.5219e-04,-4.24,-4
-3.5142e-04,-4.16,-4.16
-3.5065e-04,-4.16,-3.92
-3.4989e-04,-4.08,-4
-3.4912e-04,-4,-3.84
-3.4835e-04,-3.92,-4.16
-3.4758e-04,-3.92,-3.92
-3.4681e-04,-4,-4.24
-3.4605e-04,-4.08,-4
-3.4528e-04,-4.08,-4.24
-3.4451e-04,-4.16,-4
-3.4374e-04,-4.16,-4.32
-3.4297e-04,-4.16,-4.08
-3.4221e-04,-4.16,-4.4
-3.4144e-04,-4.24,-4.16
-3.4067e-04,-4.24,-4.4
-3.3990e-04,-4.24,-4.16
-3.3913e-04,-4.24,-4.4
-3.3837e-04,-4.24,-4.16
-3.3760e-04,-4.24,-4.32
-3.3683e-04,-4.24,-4.08
-3.3606e-04,-4.24,-4.32
-3.3529e-04,-4.24,-4.08
-3.3453e-04,-4.16,-4.32
-3.3376e-04,-4.16,-4.08
-3.3299e-04,-4.16,-4.4
-3.3222e-04,-4.16,-4.08
-3.3145e-04,-4.24,-4.4
-3.3069e-04,-4.24,-4.16
-3.2992e-04,-4.32,-4.4
-3.2915e-04,-4.32,-4.16
-3.2838e-04,-4.32,-4.4
-3.2761e-04,-4.32,-4.08
-3.2684e-04,-4.24,-4.24
-3.2608e-04,-4.24,-4
-3.2531e-04,-4.16,-4.24
-3.2454e-04,-4.16,-4
-3.2377e-04,-4.16,-4.08
-3.2300e-04,-4.08,-3.92
-3.2224e-04,-4.08,-4.08
-3.2147e-04,-4,-3.84
-3.2070e-04,-4,-4
-3.1993e-04,-3.92,-3.68
-3.1916e-04,-3.84,-3.84
-3.1840e-04,-3.84,-3.6
-3.1763e-04,-3.76,-3.76
-3.1686e-04,-3.68,-3.52
-3.1609e-04,-3.68,-3.68
-3.1532e-04,-3.6,-3.52
-3.1456e-04,-3.6,-3.92
-3.1379e-04,-3.6,-3.52
-3.1302e-04,-3.68,-4.16
-3.1225e-04,-3.76,-3.76
-3.1148e-04,-3.84,-4.24
-3.1072e-04,-4,-4
-3.0995e-04,-4.08,-4.32
-3.0918e-04,-4.16,-4.16
-3.0841e-04,-4.24,-4.4
-3.0764e-04,-4.24,-4.16
-3.0688e-04,-4.24,-4.32
-3.0611e-04,-4.24,-4.08
-3.0534e-04,-4.24,-4.4
-3.0457e-04,-4.16,-4.16
-3.0380e-04,-4.24,-4.32
-3.0304e-04,-4.24,-4.16
-3.0227e-04,-4.24,-4.32
-3.0150e-04,-4.24,-4.08
-3.0073e-04,-4.24,-4.24
-2.9996e-04,-4.16,-4
-2.9920e-04,-4.16,-4.24
-2.9843e-04,-4.16,-3.92
-2.9766e-04,-4.08,-4
-2.9689e-04,-4,-3.76
-2.9612e-04,-3.92,-3.92
-2.9535e-04,-3.84,-3.68
-2.9459e-04,-3.84,-4
-2.9382e-04,-3.84,-3.76
-2.9305e-04,-3.84,-4.16
-2.9228e-04,-3.92,-3.92
-2.9151e-04,-4,-4.32
-2.9075e-04,-4.08,-4.08
-2.8998e-04,-4.16,-4.4
-2.8921e-04,-4.16,-4.24
-2.8844e-04,-4.24,-4.48
-2.8767e-04,-4.32,-4.24
-2.8691e-04,-4.4,-4.48
-2.8614e-04,-4.4,-4.24
-2.8537e-04,-4.4,-4.4
-2.8460e-04,-4.4,-4.16
-2.8383e-04,-4.32,-4.32
-2.8307e-04,-4.24,-4.08
-2.8230e-04,-4.24,-4.24
-2.8153e-04,-4.16,-4
-2.8076e-04,-4.16,-4.16
-2.7999e-04,-4.16,-4
-2.7923e-04,-4.08,-4.24
-2.7846e-04,-4.08,-4.08
-2.7769e-04,-4.16,-4.4
-2.7692e-04,-4.16,-4.08
-2.7615e-04,-4.16,-4.48
-2.7539e-04,-4.24,-4.24
-2.7462e-04,-4.32,-4.56
