Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.02,
Sample Interval,6.4e-05,
Filter Frequency,290000,
Record Length,3124,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,2,
Label,,
TIME,CH1,CH1 Peak Detect
-1.8800e-02,-3.92,-4.88
-1.8736e-02,-3.92,-3.6
-1.8672e-02,-4.16,-4.88
-1.8608e-02,-3.84,-3.68
-1.8544e-02,-4.4,-4.72
-1.8480e-02,-4,-3.76
-1.8416e-02,-4.08,-4.72
-1.8352e-02,-4.4,-3.76
-1.8288e-02,-3.92,-4.64
-1.8224e-02,-4.56,-3.6
-1.8160e-02,-4.16,-4.88
-1.8096e-02,-4.32,-3.68
-1.8032e-02,-4.32,-4.72
-1.7968e-02,-4.32,-3.76
-1.7904e-02,-4.32,-4.64
-1.7840e-02,-4.24,-3.76
-1.7776e-02,-4.24,-4.72
-1.7712e-02,-3.92,-3.68
-1.7648e-02,-4.24,-4.8
-1.7584e-02,-3.6,-3.44
-1.7520e-02,-4.32,-4.88
-1.7456e-02,-4.08,-3.68
-1.7392e-02,-4.32,-4.72
-1.7328e-02,-4.24,-3.6
-1.7264e-02,-4.4,-4.8
-1.7200e-02,-4.4,-3.76
-1.7136e-02,-4.4,-4.88
-1.7072e-02,-4.32,-3.6
-1.7008e-02,-3.92,-4.8
-1.6944e-02,-4.64,-3.6
-1.6880e-02,-4.32,-4.8
-1.6816e-02,-4.16,-3.76
-1.6752e-02,-4.24,-4.8
-1.6688e-02,-4.08,-3.76
-1.6624e-02,-3.68,-4.72
-1.6560e-02,-4.32,-3.52
-1.6496e-02,-3.84,-4.64
-1.6432e-02,-4.48,-3.68
-1.6368e-02,-4.08,-4.72
-1.6304e-02,-4.16,-3.76
-1.6240e-02,-4,-4.72
-1.6176e-02,-4.08,-3.52
-1.6112e-02,-3.84,-4.72
-1.6048e-02,-4.56,-3.52
-1.5984e-02,-4.16,-5.04
-1.5920e-02,-4.24,-3.68
-1.5856e-02,-4.4,-4.72
-1.5792e-02,-4.24,-3.6
-1.5728e-02,-4.48,-4.88
-1.5664e-02,-3.92,-3.68
