Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.004,
Sample Interval,7.68049e-06,
Filter Frequency,290000,
Record Length,5207,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,2,
Label,,
TIME,CH1,CH1 Peak Detect
-3.7600e-03,-3.88,-4.36
-3.7523e-03,-4.12,-3.64
-3.7446e-03,-4.12,-4.44
-3.7370e-03,-3.96,-3.88
-3.7293e-03,-4.2,-4.52
-3.7216e-03,-4.44,-4.12
-3.7139e-03,-4.12,-4.36
-3.7062e-03,-4.04,-3.88
-3.6986e-03,-4.28,-4.44
-3.6909e-03,-3.96,-3.88
-3.6832e-03,-4.2,-4.36
-3.6755e-03,-3.96,-3.8
-3.6678e-03,-4.36,-4.52
-3.6602e-03,-4.2,-3.96
-3.6525e-03,-4.04,-4.2
-3.6448e-03,-4.12,-3.88
-3.6371e-03,-4.04,-4.2
-3.6294e-03,-3.72,-3.64
-3.6218e-03,-4.04,-4.2
-3.6141e-03,-3.56,-3.4
-3.6064e-03,-4.28,-4.44
-3.5987e-03,-4.2,-3.96
-3.5910e-03,-3.96,-4.36
-3.5833e-03,-4.04,-3.8
-3.5757e-03,-4.36,-4.52
-3.5680e-03,-4.12,-4.04
-3.5603e-03,-4.44,-4.68
-3.5526e-03,-4.44,-4.12
-3.5449e-03,-4.04,-4.28
-3.5373e-03,-4.2,-3.8
-3.5296e-03,-3.88,-4.2
-3.5219e-03,-3.88,-3.8
-3.5142e-03,-4.28,-4.52
-3.5065e-03,-4.36,-4.04
-3.4989e-03,-4.12,-4.2
-3.4912e-03,-3.64,-3.56
-3.4835e-03,-4.12,-4.2
-3.4758e-03,-3.96,-3.64
-3.4681e-03,-3.88,-4.2
-3.4605e-03,-3.96,-3.72
-3.4528e-03,-4.36,-4.52
-3.4451e-03,-4.04,-3.88
-3.4374e-03,-4.04,-4.12
-3.4297e-03,-3.64,-3.48
-3.4221e-03,-4.12,-4.28
-3.4144e-03,-4.12,-3.88
-3.4067e-03,-4.28,-4.52
-3.3990e-03,-4.04,-3.72
-3.3913e-03,-3.8,-4.12
-3.3837e-03,-3.8,-3.72
-3.3760e-03,-4.12,-4.2
-3.3683e-03,-3.72,-3.64
-3.3606e-03,-4.12,-4.44
-3.3529e-03,-4.12,-3.96
-3.3453e-03,-4.52,-4.6
-3.3376e-03,-4.12,-4.04
-3.3299e-03,-4.12,-4.44
-3.3222e-03,-4.04,-3.56
-3.3145e-03,-3.72,-4.36
-3.3069e-03,-4.2,-3.56
-3.2992e-03,-3.88,-4.2
-3.2915e-03,-4.04,-3.8
-3.2838e-03,-3.96,-4.12
-3.2761e-03,-3.88,-3.56
-3.2684e-03,-3.56,-4.52
-3.2608e-03,-4.2,-3.4
-3.2531e-03,-4.28,-4.52
-3.2454e-03,-4.28,-4.12
-3.2377e-03,-4.28,-4.44
-3.2300e-03,-4.12,-3.96
-3.2224e-03,-4.12,-4.36
-3.2147e-03,-4.12,-3.96
-3.2070e-03,-4.2,-4.52
-3.1993e-03,-4.36,-4.04
-3.1916e-03,-4.2,-4.44
-3.1840e-03,-3.88,-3.8
-3.1763e-03,-4.2,-4.52
-3.1686e-03,-4.12,-3.96
-3.1609e-03,-4.28,-4.52
-3.1532e-03,-4.04,-3.88
-3.1456e-03,-4.36,-4.44
-3.1379e-03,-3.96,-3.88
-3.1302e-03,-4.2,-4.36
-3.1225e-03,-3.96,-3.8
-3.1148e-03,-4.12,-4.6
-3.1072e-03,-4.52,-3.8
-3.0995e-03,-3.88,-4.2
-3.0918e-03,-3.8,-3.64
-3.0841e-03,-4.2,-4.44
-3.0764e-03,-4.12,-3.88
-3.0688e-03,-4.2,-4.36
-3.0611e-03,-4.12,-3.88
-3.0534e-03,-4.2,-4.68
-3.0457e-03,-4.6,-4.04
-3.0380e-03,-4.2,-4.44
-3.0304e-03,-4.36,-4.04
-3.0227e-03,-4.04,-4.84
-3.0150e-03,-4.44,-3.8
-3.0073e-03,-4.68,-4.84
-2.9996e-03,-4.2,-3.8
-2.9920e-03,-4.12,-4.28
-2.9843e-03,-4.04,-3.88
-2.9766e-03,-3.88,-4.2
-2.9689e-03,-3.96,-3.72
-2.9612e-03,-3.88,-4.2
-2.9535e-03,-3.88,-3.72
-2.9459e-03,-4.12,-4.2
-2.9382e-03,-4.04,-3.96
-2.9305e-03,-4.12,-4.2
-2.9228e-03,-3.96,-3.88
-2.9151e-03,-4.12,-4.44
-2.9075e-03,-3.8,-3.72
-2.8998e-03,-4.28,-4.52
-2.8921e-03,-4.12,-3.96
-2.8844e-03,-4.28,-4.44
-2.8767e-03,-3.88,-3.72
-2.8691e-03,-4.2,-4.44
-2.8614e-03,-4.12,-3.88
-2.8537e-03,-4.36,-4.52
-2.8460e-03,-3.96,-3.8
-2.8383e-03,-3.96,-4.12
-2.8307e-03,-3.88,-3.56
-2.8230e-03,-3.8,-4.36
-2.8153e-03,-4.12,-3.64
-2.8076e-03,-3.88,-4.12
-2.7999e-03,-3.96,-3.72
-2.7923e-03,-4.12,-4.28
-2.7846e-03,-4.2,-3.88
-2.7769e-03,-3.96,-4.2
-2.7692e-03,-3.96,-3.72
-2.7615e-03,-3.8,-4.12
-2.7539e-03,-3.96,-3.64
-2.7462e-03,-4.12,-4.52
-2.7385e-03,-4.2,-3.96
-2.7308e-03,-4.36,-4.52
-2.7231e-03,-4.2,-4.04
-2.7155e-03,-4.2,-4.68
-2.7078e-03,-4.6,-4.04
-2.7001e-03,-4.28,-4.36
-2.6924e-03,-4.2,-4.04
-2.6847e-03,-4.28,-4.6
-2.6771e-03,-4.52,-4.04
-2.6694e-03,-4.12,-4.44
-2.6617e-03,-4.12,-3.88
-2.6540e-03,-3.88,-4.12
-2.6463e-03,-4.04,-3.56
-2.6386e-03,-3.96,-4.36
-2.6310e-03,-4.04,-3.64
-2.6233e-03,-4.04,-4.36
-2.6156e-03,-4.28,-3.88
-2.6079e-03,-3.96,-4.44
-2.6002e-03,-4.12,-3.8
-2.5926e-03,-4.36,-4.44
-2.5849e-03,-4.04,-3.96
-2.5772e-03,-4.04,-4.28
-2.5695e-03,-4.12,-3.88
-2.5618e-03,-4.12,-4.36
-2.5542e-03,-4.2,-3.96
-2.5465e-03,-4.2,-4.52
-2.5388e-03,-4.44,-4.12
-2.5311e-03,-4.28,-4.44
-2.5234e-03,-4.2,-3.8
-2.5158e-03,-3.96,-4.6
-2.5081e-03,-4.44,-3.8
-2.5004e-03,-4.2,-4.52
-2.4927e-03,-3.56,-3.48
-2.4850e-03,-4.2,-4.28
-2.4774e-03,-3.96,-3.8
-2.4697e-03,-3.96,-4.36
-2.4620e-03,-4.2,-3.88
-2.4543e-03,-3.88,-4.2
-2.4466e-03,-4.04,-3.72
-2.4390e-03,-3.8,-4.2
-2.4313e-03,-3.96,-3.72
-2.4236e-03,-3.96,-4.36
-2.4159e-03,-4.28,-3.88
-2.4082e-03,-4.28,-4.52
-2.4006e-03,-4.28,-4.12
