Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.004,
Sample Interval,1.28e-05,
Filter Frequency,290000,
Record Length,3124,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Label,,
TIME,CH1,CH1 Peak Detect
-3.760e-03,-4.02,-4.66
-3.747e-03,-4.42,-3.94
-3.734e-03,-4.54,-4.66
-3.722e-03,-4.26,-4.02
-3.709e-03,-3.98,-4.54
-3.696e-03,-4.46,-3.86
-3.683e-03,-4.02,-4.34
-3.670e-03,-4.14,-3.82
-3.658e-03,-3.94,-4.26
-3.645e-03,-3.78,-3.58
-3.632e-03,-3.98,-4.5
-3.619e-03,-4.06,-3.66
-3.606e-03,-4.22,-4.74
-3.594e-03,-4.58,-3.94
-3.581e-03,-4.5,-4.7
-3.568e-03,-4.54,-4.14
-3.555e-03,-4.42,-4.54
-3.542e-03,-4.38,-4.18
-3.530e-03,-3.98,-4.78
-3.517e-03,-4.42,-3.9
-3.504e-03,-4.34,-4.74
-3.491e-03,-3.82,-3.78
-3.478e-03,-4.1,-4.5
-3.466e-03,-4.14,-3.86
-3.453e-03,-4.06,-4.42
-3.440e-03,-4.3,-3.86
-3.427e-03,-4.26,-4.46
-3.414e-03,-4.02,-3.9
-3.402e-03,-4.42,-4.58
-3.389e-03,-4.14,-3.86
-3.376e-03,-4.02,-4.26
-3.363e-03,-3.98,-3.86
-3.350e-03,-3.94,-4.3
-3.338e-03,-4.18,-3.82
-3.325e-03,-4.06,-4.14
-3.312e-03,-3.9,-3.58
-3.299e-03,-4.62,-4.74
-3.286e-03,-4.14,-3.98
-3.274e-03,-4.02,-4.58
-3.261e-03,-4.5,-3.86
-3.248e-03,-4.5,-4.74
-3.235e-03,-4.58,-4.14
-3.222e-03,-3.98,-4.42
-3.210e-03,-4.1,-3.82
-3.197e-03,-4.02,-4.18
-3.184e-03,-3.82,-3.54
-3.171e-03,-3.94,-4.3
-3.158e-03,-4.02,-3.5
-3.146e-03,-3.7,-4.18
-3.133e-03,-3.82,-3.42
-3.120e-03,-4.54,-4.62
-3.107e-03,-4.22,-3.82
-3.094e-03,-4.66,-4.78
-3.082e-03,-4.58,-4.18
-3.069e-03,-4.38,-4.62
-3.056e-03,-4.02,-3.74
-3.043e-03,-4.5,-4.66
-3.030e-03,-4.38,-4.26
-3.018e-03,-4.02,-4.46
-3.005e-03,-3.86,-3.66
-2.992e-03,-4.38,-4.5
-2.979e-03,-3.66,-3.58
-2.966e-03,-4.06,-4.46
-2.954e-03,-4.18,-3.62
-2.941e-03,-4.14,-4.42
-2.928e-03,-4.3,-3.98
-2.915e-03,-4.02,-4.5
-2.902e-03,-4.22,-3.82
-2.890e-03,-4.22,-4.46
-2.877e-03,-4.22,-4.02
-2.864e-03,-3.98,-4.22
-2.851e-03,-3.86,-3.78
-2.838e-03,-3.82,-4.18
-2.826e-03,-4.1,-3.62
-2.813e-03,-3.86,-4.38
-2.800e-03,-3.98,-3.46
-2.787e-03,-4.02,-4.74
-2.774e-03,-4.3,-3.94
-2.762e-03,-4.06,-4.34
-2.749e-03,-4.22,-3.74
-2.736e-03,-4.3,-4.42
-2.723e-03,-3.98,-3.82
-2.710e-03,-4.46,-4.62
-2.698e-03,-4.22,-3.74
-2.685e-03,-4.02,-4.66
-2.672e-03,-4.06,-3.62
-2.659e-03,-3.82,-4.66
-2.646e-03,-4.14,-3.66
-2.634e-03,-4.18,-4.58
-2.621e-03,-4.02,-3.82
-2.608e-03,-4.54,-4.7
-2.595e-03,-4.3,-4.02
-2.582e-03,-4.26,-4.42
-2.570e-03,-4.26,-4.06
-2.557e-03,-4.06,-4.7
-2.544e-03,-4.62,-3.9
-2.531e-03,-4.34,-4.54
-2.518e-03,-4.06,-3.82
-2.506e-03,-4.22,-4.42
-2.493e-03,-3.94,-3.78
-2.480e-03,-4.14,-4.3
-2.467e-03,-3.62,-3.54
-2.454e-03,-4.18,-4.3
-2.442e-03,-4.1,-3.82
-2.429e-03,-4.46,-4.66
-2.416e-03,-4.58,-4.02
-2.403e-03,-4.02,-4.38
-2.390e-03,-4.14,-3.82
-2.378e-03,-4.26,-4.54
-2.365e-03,-4.14,-4.02
-2.352e-03,-4.06,-4.58
-2.339e-03,-4.3,-3.98
-2.326e-03,-4.06,-4.3
-2.314e-03,-4.18,-3.94
-2.301e-03,-4.38,-4.7
-2.288e-03,-4.14,-3.74
-2.275e-03,-3.94,-4.7
-2.262e-03,-4.02,-3.82
-2.250e-03,-4.42,-4.5
-2.237e-03,-4.26,-3.86
-2.224e-03,-4.5,-4.78
-2.211e-03,-4.3,-4.14
-2.198e-03,-4.18,-4.62
-2.186e-03,-4.46,-3.94
-2.173e-03,-4.1,-4.38
-2.160e-03,-4.1,-3.82
-2.147e-03,-4.06,-4.54
-2.134e-03,-3.94,-3.86
-2.122e-03,-4.26,-4.38
-2.109e-03,-4.3,-3.94
-2.096e-03,-4.22,-4.5
-2.083e-03,-4.06,-4.02
-2.070e-03,-4.46,-4.54
-2.058e-03,-4.34,-4.1
-2.045e-03,-4.02,-4.62
-2.032e-03,-4.42,-3.98
-2.019e-03,-4.34,-4.5
-2.006e-03,-3.58,-3.38
-1.994e-03,-4.26,-4.42
-1.981e-03,-4.26,-3.58
-1.968e-03,-4.1,-4.42
-1.955e-03,-4.06,-3.9
-1.942e-03,-4.42,-4.5
-1.930e-03,-4.02,-3.94
-1.917e-03,-4.14,-4.54
-1.904e-03,-4.46,-4.06
-1.891e-03,-4.26,-4.7
-1.878e-03,-4.62,-3.78
-1.866e-03,-4.14,-4.58
-1.853e-03,-3.82,-3.66
-1.840e-03,-4.02,-4.22
-1.827e-03,-4.02,-3.66
-1.814e-03,-4.14,-4.42
-1.802e-03,-4.14,-3.86
-1.789e-03,-4.26,-4.38
-1.776e-03,-4.14,-3.94
-1.763e-03,-4.3,-4.54
-1.750e-03,-4.1,-3.82
-1.738e-03,-4.34,-4.5
-1.725e-03,-4.06,-3.86
-1.712e-03,-4.22,-4.3
-1.699e-03,-3.98,-3.86
-1.686e-03,-4.18,-4.3
-1.674e-03,-4.22,-3.98
-1.661e-03,-4.02,-4.42
-1.648e-03,-4.14,-3.82
-1.635e-03,-3.82,-4.46
-1.622e-03,-4.1,-3.74
-1.610e-03,-4.06,-4.46
-1.597e-03,-3.98,-3.78
-1.584e-03,-4.14,-4.34
-1.571e-03,-3.74,-3.62
-1.558e-03,-4.42,-4.5
-1.546e-03,-4.18,-4.06
-1.533e-03,-4.38,-4.46
-1.520e-03,-4.3,-4.02
-1.507e-03,-3.7,-4.38
-1.494e-03,-4.14,-3.66
-1.482e-03,-4.3,-4.46
-1.469e-03,-4.26,-3.98
-1.456e-03,-4.02,-4.5
-1.443e-03,-4.42,-3.82
-1.430e-03,-4.38,-4.7
-1.418e-03,-4.5,-4.06
-1.405e-03,-4.5,-4.66
-1.392e-03,-3.94,-3.82
-1.379e-03,-4.38,-4.58
-1.366e-03,-4.26,-3.82
