Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1.6e-08,
Filter Frequency,5.5e+06,
Record Length,6249,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,50,
Label,,
TIME,CH1,CH1 Peak Detect
-9.400e-06,-4,-4
-9.384e-06,-2,-2
-9.368e-06,-2,-4
-9.352e-06,-2,-2
-9.336e-06,-2,-4
-9.320e-06,-2,-2
-9.304e-06,-2,-4
-9.288e-06,-2,-2
-9.272e-06,-2,-4
-9.256e-06,-2,-2
-9.240e-06,-2,-4
-9.224e-06,-4,-2
-9.208e-06,-4,-4
-9.192e-06,-4,-2
-9.176e-06,-4,-4
-9.160e-06,-4,-2
-9.144e-06,-4,-4
-9.128e-06,-4,-2
-9.112e-06,-4,-4
-9.096e-06,-4,-2
-9.080e-06,-2,-4
-9.064e-06,-2,-2
-9.048e-06,-2,-4
-9.032e-06,-2,-2
-9.016e-06,-2,-4
-9.000e-06,-2,-2
-8.984e-06,-2,-4
-8.968e-06,-2,-2
-8.952e-06,-2,-4
-8.936e-06,-4,-2
-8.920e-06,-2,-4
-8.904e-06,-2,-2
-8.888e-06,-2,-4
-8.872e-06,-2,-2
-8.856e-06,-2,-4
-8.840e-06,-2,-2
-8.824e-06,-2,-4
-8.808e-06,-2,-2
-8.792e-06,-2,-4
-8.776e-06,-2,-2
-8.760e-06,-2,-4
-8.744e-06,-2,-2
-8.728e-06,-2,-4
-8.712e-06,-2,-2
-8.696e-06,-2,-4
-8.680e-06,-2,-2
-8.664e-06,-2,-4
-8.648e-06,-4,-2
-8.632e-06,-4,-4
-8.616e-06,-4,-2
-8.600e-06,-4,-4
-8.584e-06,-4,-2
-8.568e-06,-4,-4
-8.552e-06,-4,-2
-8.536e-06,-4,-4
-8.520e-06,-4,-2
-8.504e-06,-4,-4
-8.488e-06,-4,-2
-8.472e-06,-4,-4
-8.456e-06,-4,-2
-8.440e-06,-4,-4
-8.424e-06,-4,-2
-8.408e-06,-4,-4
-8.392e-06,-4,-2
-8.376e-06,-4,-4
-8.360e-06,-4,-2
-8.344e-06,-4,-4
-8.328e-06,-4,-2
-8.312e-06,-4,-4
-8.296e-06,-4,-2
-8.280e-06,-4,-4
-8.264e-06,-2,-2
-8.248e-06,-2,-4
-8.232e-06,-2,-2
-8.216e-06,-2,-4
-8.200e-06,-2,-2
-8.184e-06,-2,-4
-8.168e-06,-2,-2
-8.152e-06,-2,-4
-8.136e-06,-2,-2
-8.120e-06,-2,-4
-8.104e-06,-2,-2
-8.088e-06,-2,-4
-8.072e-06,-2,-2
-8.056e-06,-2,-4
-8.040e-06,-2,-2
-8.024e-06,-2,-4
-8.008e-06,-2,-2
-7.992e-06,-2,-4
-7.976e-06,-2,-2
-7.960e-06,-2,-4
-7.944e-06,-2,-2
-7.928e-06,-2,-4
-7.912e-06,-2,-2
-7.896e-06,-2,-4
-7.880e-06,-2,-2
-7.864e-06,-2,-4
-7.848e-06,-2,-2
-7.832e-06,-2,-4
-7.816e-06,-2,-2
-7.800e-06,-2,-4
-7.784e-06,-2,-2
-7.768e-06,-2,-4
-7.752e-06,-2,-2
-7.736e-06,-2,-4
-7.720e-06,-2,-2
-7.704e-06,-2,-4
-7.688e-06,-2,-2
-7.672e-06,-2,-4
-7.656e-06,-2,-2
-7.640e-06,-2,-4
-7.624e-06,-2,-2
-7.608e-06,-2,-4
-7.592e-06,-2,-2
-7.576e-06,-2,-4
-7.560e-06,-2,-2
-7.544e-06,-2,-4
-7.528e-06,-2,-2
-7.512e-06,-2,-4
-7.496e-06,-2,-2
-7.480e-06,-2,-4
-7.464e-06,-2,-2
-7.448e-06,-2,-4
-7.432e-06,-2,-2
-7.416e-06,-2,-4
-7.400e-06,-2,-2
-7.384e-06,-2,-4
-7.368e-06,-2,-2
-7.352e-06,-2,-4
-7.336e-06,-2,-2
-7.320e-06,-2,-4
-7.304e-06,-2,-2
-7.288e-06,-2,-4
-7.272e-06,-2,-2
-7.256e-06,-2,-4
-7.240e-06,-2,-2
-7.224e-06,-2,-4
-7.208e-06,-2,-2
-7.192e-06,-2,-4
-7.176e-06,-2,-2
-7.160e-06,-2,-4
-7.144e-06,-2,-2
-7.128e-06,-2,-4
-7.112e-06,-2,-2
-7.096e-06,-2,-4
-7.080e-06,-2,-2
-7.064e-06,-2,-4
-7.048e-06,-2,-2
-7.032e-06,-2,-4
-7.016e-06,-2,-2
-7.000e-06,-2,-4
-6.984e-06,-2,-2
-6.968e-06,-2,-4
-6.952e-06,-2,-2
-6.936e-06,-2,-4
-6.920e-06,-2,-2
-6.904e-06,-2,-4
-6.888e-06,-2,-2
-6.872e-06,-2,-4
-6.856e-06,-2,-2
-6.840e-06,-2,-4
-6.824e-06,-2,-2
-6.808e-06,-2,-4
-6.792e-06,-2,-2
-6.776e-06,-2,-4
-6.760e-06,-2,-2
-6.744e-06,-2,-4
-6.728e-06,-2,-2
-6.712e-06,-4,-4
-6.696e-06,-4,-2
-6.680e-06,-4,-4
-6.664e-06,-2,-2
-6.648e-06,-2,-4
-6.632e-06,-2,-2
-6.616e-06,-2,-4
-6.600e-06,-2,-2
-6.584e-06,-2,-4
-6.568e-06,-2,-2
-6.552e-06,-2,-4
-6.536e-06,-2,-2
-6.520e-06,-2,-4
-6.504e-06,-2,-2
-6.488e-06,-2,-4
-6.472e-06,-2,-2
-6.456e-06,-2,-4
-6.440e-06,-2,-2
-6.424e-06,-2,-4
-6.408e-06,-2,-2
-6.392e-06,-2,-4
-6.376e-06,-2,-2
-6.360e-06,-2,-4
-6.344e-06,-2,-2
-6.328e-06,-2,-4
-6.312e-06,-2,-2
-6.296e-06,-2,-4
-6.280e-06,-2,-2
-6.264e-06,-2,-4
-6.248e-06,-2,-2
-6.232e-06,-2,-4
-6.216e-06,-2,-2
-6.200e-06,-2,-4
-6.184e-06,-2,-2
-6.168e-06,-2,-4
-6.152e-06,-2,-2
-6.136e-06,-2,-4
-6.120e-06,-2,-2
-6.104e-06,-2,-4
-6.088e-06,-2,-2
-6.072e-06,-2,-4
-6.056e-06,-2,-2
-6.040e-06,-2,-4
-6.024e-06,-2,-2
-6.008e-06,-2,-4
-5.992e-06,-2,-2
-5.976e-06,-2,-4
-5.960e-06,-2,-2
-5.944e-06,-2,-4
-5.928e-06,-2,-2
-5.912e-06,-2,-4
-5.896e-06,-2,-2
-5.880e-06,-2,-4
-5.864e-06,-2,-2
-5.848e-06,-2,-4
-5.832e-06,-2,-2
-5.816e-06,-4,-4
-5.800e-06,-4,-2
-5.784e-06,-2,-4
-5.768e-06,-2,-2
-5.752e-06,-2,-4
-5.736e-06,-2,-2
-5.720e-06,-2,-4
-5.704e-06,-4,-2
-5.688e-06,-4,-4
-5.672e-06,-2,-2
-5.656e-06,-2,-4
-5.640e-06,-2,-2
-5.624e-06,-2,-4
