Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,6.4e-06,
Filter Frequency,290000,
Record Length,3124,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,2,
Label,,
TIME,CH1,CH1 Peak Detect
-1.8800e-03,-4.56,-4.88
-1.8736e-03,-4.8,-4.4
-1.8672e-03,-4.32,-4.88
-1.8608e-03,-4.72,-4.16
-1.8544e-03,-4.64,-4.8
-1.8480e-03,-4.4,-4.24
-1.8416e-03,-4.48,-4.8
-1.8352e-03,-4.56,-4.16
-1.8288e-03,-4.16,-4.32
-1.8224e-03,-4.08,-3.92
-1.8160e-03,-4.4,-4.72
-1.8096e-03,-4.56,-4.16
-1.8032e-03,-4.48,-4.72
-1.7968e-03,-4.24,-4.16
-1.7904e-03,-4.32,-4.48
-1.7840e-03,-3.92,-3.84
-1.7776e-03,-4.56,-4.64
-1.7712e-03,-4.16,-3.92
-1.7648e-03,-4,-4.32
-1.7584e-03,-4.24,-3.92
-1.7520e-03,-4.32,-4.56
-1.7456e-03,-4.32,-4.08
-1.7392e-03,-4.24,-4.48
-1.7328e-03,-4.32,-4
-1.7264e-03,-4,-4.48
-1.7200e-03,-4.24,-3.92
-1.7136e-03,-4.32,-4.8
-1.7072e-03,-4.56,-4.16
-1.7008e-03,-4.64,-4.88
-1.6944e-03,-4,-3.92
-1.6880e-03,-4.48,-4.72
-1.6816e-03,-4.48,-4.16
-1.6752e-03,-4.48,-4.56
-1.6688e-03,-4.48,-4.24
-1.6624e-03,-4.4,-4.64
-1.6560e-03,-4.56,-4.24
-1.6496e-03,-4,-4.4
-1.6432e-03,-4.08,-3.76
-1.6368e-03,-4,-4.32
-1.6304e-03,-4.24,-3.84
-1.6240e-03,-4.24,-4.48
-1.6176e-03,-4.32,-4.08
-1.6112e-03,-4.16,-4.64
-1.6048e-03,-4.56,-4.08
-1.5984e-03,-4.48,-4.64
-1.5920e-03,-4.48,-4.24
-1.5856e-03,-4.16,-4.4
-1.5792e-03,-4,-3.84
-1.5728e-03,-4.4,-4.56
-1.5664e-03,-3.92,-3.68
-1.5600e-03,-4,-4.16
-1.5536e-03,-3.92,-3.76
-1.5472e-03,-4.08,-4.48
-1.5408e-03,-4.32,-3.84
-1.5344e-03,-4.4,-4.56
-1.5280e-03,-4.32,-4
-1.5216e-03,-4,-4.4
-1.5152e-03,-3.84,-3.76
-1.5088e-03,-4.48,-4.64
-1.5024e-03,-4.32,-4.24
-1.4960e-03,-4.4,-4.72
-1.4896e-03,-4.56,-4.08
-1.4832e-03,-4.16,-4.48
-1.4768e-03,-4.32,-4.08
-1.4704e-03,-4.16,-4.4
-1.4640e-03,-4.16,-4
-1.4576e-03,-4.08,-4.48
-1.4512e-03,-4.4,-3.92
-1.4448e-03,-4.24,-4.4
-1.4384e-03,-4.08,-3.92
-1.4320e-03,-4.16,-4.48
-1.4256e-03,-4.32,-4
-1.4192e-03,-4.4,-4.48
-1.4128e-03,-4.16,-4
-1.4064e-03,-4.08,-4.4
-1.4000e-03,-4.24,-4
-1.3936e-03,-4.32,-4.48
-1.3872e-03,-4,-3.92
-1.3808e-03,-4.08,-4.72
-1.3744e-03,-4.48,-4
-1.3680e-03,-4.56,-4.72
-1.3616e-03,-4.16,-4.08
-1.3552e-03,-4.56,-4.72
-1.3488e-03,-4.48,-4.32
-1.3424e-03,-4.56,-4.88
-1.3360e-03,-4.72,-4.48
-1.3296e-03,-4.48,-4.56
-1.3232e-03,-4.4,-4.24
-1.3168e-03,-4.4,-4.72
-1.3104e-03,-4.56,-4.32
-1.3040e-03,-4.56,-4.8
-1.2976e-03,-4.24,-3.92
-1.2912e-03,-4.08,-4.64
-1.2848e-03,-4.56,-3.92
-1.2784e-03,-4.24,-4.48
-1.2720e-03,-4,-3.92
-1.2656e-03,-4.4,-4.56
-1.2592e-03,-4.08,-4
-1.2528e-03,-4.48,-4.64
-1.2464e-03,-4.16,-4
-1.2400e-03,-4.4,-4.48
-1.2336e-03,-4.16,-4
-1.2272e-03,-4,-4.16
-1.2208e-03,-3.92,-3.68
-1.2144e-03,-4.24,-4.32
-1.2080e-03,-4.08,-3.76
-1.2016e-03,-3.92,-4.56
-1.1952e-03,-4.32,-3.76
-1.1888e-03,-4.32,-4.48
-1.1824e-03,-4.08,-3.84
-1.1760e-03,-4.16,-4.56
-1.1696e-03,-4.48,-3.84
-1.1632e-03,-4.48,-4.64
-1.1568e-03,-4.16,-4.08
-1.1504e-03,-4.16,-4.32
-1.1440e-03,-4.24,-4.08
-1.1376e-03,-4.48,-4.96
-1.1312e-03,-4.88,-4.24
-1.1248e-03,-4.08,-4.4
-1.1184e-03,-4,-3.76
-1.1120e-03,-4.24,-4.48
-1.1056e-03,-4.24,-4
-1.0992e-03,-4.64,-4.72
-1.0928e-03,-4.4,-4.08
-1.0864e-03,-4,-4.24
-1.0800e-03,-3.92,-3.76
-1.0736e-03,-4,-4.48
-1.0672e-03,-4.08,-3.76
-1.0608e-03,-4.48,-4.72
-1.0544e-03,-4.56,-4.32
-1.0480e-03,-4.48,-4.64
-1.0416e-03,-4,-3.84
-1.0352e-03,-4,-4.24
-1.0288e-03,-3.92,-3.68
-1.0224e-03,-4,-4.56
-1.0160e-03,-4.4,-3.76
-1.0096e-03,-4.32,-4.56
-1.0032e-03,-4.24,-4.16
-9.9680e-04,-4.56,-4.64
-9.9040e-04,-4.48,-4.16
-9.8400e-04,-4.16,-4.72
-9.7760e-04,-4.48,-4.08
-9.7120e-04,-4.4,-4.64
-9.6480e-04,-4.4,-4.16
-9.5840e-04,-4.08,-4.4
-9.5200e-04,-4.16,-3.92
-9.4560e-04,-4.16,-4.48
-9.3920e-04,-4.24,-4.08
-9.3280e-04,-4.32,-4.48
-9.2640e-04,-4.24,-4
-9.2000e-04,-4,-4.48
-9.1360e-04,-4.32,-3.92
-9.0720e-04,-4.4,-4.56
-9.0080e-04,-4.32,-4.08
-8.9440e-04,-4.4,-4.56
-8.8800e-04,-4.24,-4.16
-8.8160e-04,-4.4,-4.64
-8.7520e-04,-4.48,-4.32
-8.6880e-04,-4.56,-4.72
-8.6240e-04,-4.64,-4.32
-8.5600e-04,-4.32,-4.56
-8.4960e-04,-4.32,-4.16
-8.4320e-04,-4.72,-4.96
-8.3680e-04,-4.72,-4.32
-8.3040e-04,-4.32,-4.56
-8.2400e-04,-4.24,-4.08
-8.1760e-04,-4.4,-4.72
-8.1120e-04,-4.56,-4.24
-8.0480e-04,-4.32,-4.56
-7.9840e-04,-4.24,-4
-7.9200e-04,-4.08,-4.4
-7.8560e-04,-4,-3.84
-7.7920e-04,-4.24,-4.32
-7.7280e-04,-3.84,-3.68
-7.6640e-04,-3.76,-4.24
-7.6000e-04,-3.84,-3.6
-7.5360e-04,-4.32,-4.56
-7.4720e-04,-4.32,-4.08
-7.4080e-04,-4.56,-4.64
-7.3440e-04,-4.56,-4.4
-7.2800e-04,-4.4,-4.56
-7.2160e-04,-4.24,-4.08
-7.1520e-04,-4.32,-4.64
-7.0880e-04,-4.4,-4
-7.0240e-04,-4.16,-4.4
-6.9600e-04,-4.08,-3.92
-6.8960e-04,-4.32,-4.8
-6.8320e-04,-4.56,-4.08
-6.7680e-04,-4.56,-4.8
-6.7040e-04,-4,-3.92
-6.6400e-04,-4.32,-4.64
-6.5760e-04,-4.56,-4.08
-6.5120e-04,-4.16,-4.32
