Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,1.6e-07,
Filter Frequency,550000,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,2,
Label,,
TIME,CH1,CH1 Peak Detect
-1.88000e-03,-4.28,-4.2
-1.87984e-03,-4.28,-4.36
-1.87968e-03,-4.28,-4.12
-1.87952e-03,-4.28,-4.36
-1.87936e-03,-4.28,-4.2
-1.87920e-03,-4.28,-4.36
-1.87904e-03,-4.28,-4.2
-1.87888e-03,-4.28,-4.36
-1.87872e-03,-4.28,-4.28
-1.87856e-03,-4.28,-4.36
-1.87840e-03,-4.28,-4.2
-1.87824e-03,-4.28,-4.36
-1.87808e-03,-4.28,-4.2
-1.87792e-03,-4.28,-4.36
-1.87776e-03,-4.28,-4.2
-1.87760e-03,-4.28,-4.36
-1.87744e-03,-4.28,-4.2
-1.87728e-03,-4.28,-4.36
-1.87712e-03,-4.28,-4.2
-1.87696e-03,-4.28,-4.36
-1.87680e-03,-4.28,-4.2
-1.87664e-03,-4.28,-4.36
-1.87648e-03,-4.28,-4.28
-1.87632e-03,-4.28,-4.36
-1.87616e-03,-4.28,-4.2
-1.87600e-03,-4.28,-4.36
-1.87584e-03,-4.36,-4.28
-1.87568e-03,-4.36,-4.44
-1.87552e-03,-4.36,-4.2
-1.87536e-03,-4.36,-4.36
-1.87520e-03,-4.36,-4.28
-1.87504e-03,-4.36,-4.44
-1.87488e-03,-4.36,-4.28
-1.87472e-03,-4.36,-4.44
-1.87456e-03,-4.36,-4.28
-1.87440e-03,-4.36,-4.44
-1.87424e-03,-4.36,-4.28
-1.87408e-03,-4.36,-4.44
-1.87392e-03,-4.36,-4.28
-1.87376e-03,-4.36,-4.44
-1.87360e-03,-4.36,-4.28
-1.87344e-03,-4.36,-4.44
-1.87328e-03,-4.44,-4.36
-1.87312e-03,-4.44,-4.44
-1.87296e-03,-4.44,-4.36
-1.87280e-03,-4.44,-4.52
-1.87264e-03,-4.44,-4.36
-1.87248e-03,-4.44,-4.52
-1.87232e-03,-4.44,-4.36
-1.87216e-03,-4.44,-4.52
-1.87200e-03,-4.44,-4.36
-1.87184e-03,-4.44,-4.52
-1.87168e-03,-4.52,-4.36
-1.87152e-03,-4.52,-4.52
-1.87136e-03,-4.52,-4.44
-1.87120e-03,-4.52,-4.6
-1.87104e-03,-4.52,-4.44
-1.87088e-03,-4.52,-4.6
-1.87072e-03,-4.52,-4.44
-1.87056e-03,-4.52,-4.6
-1.87040e-03,-4.52,-4.44
-1.87024e-03,-4.52,-4.6
-1.87008e-03,-4.52,-4.44
-1.86992e-03,-4.52,-4.6
-1.86976e-03,-4.52,-4.44
-1.86960e-03,-4.52,-4.6
-1.86944e-03,-4.44,-4.44
-1.86928e-03,-4.44,-4.52
-1.86912e-03,-4.44,-4.44
-1.86896e-03,-4.44,-4.52
-1.86880e-03,-4.44,-4.36
-1.86864e-03,-4.44,-4.52
-1.86848e-03,-4.44,-4.36
-1.86832e-03,-4.44,-4.52
-1.86816e-03,-4.44,-4.36
-1.86800e-03,-4.44,-4.52
-1.86784e-03,-4.44,-4.44
-1.86768e-03,-4.44,-4.52
-1.86752e-03,-4.44,-4.36
-1.86736e-03,-4.44,-4.52
-1.86720e-03,-4.44,-4.44
-1.86704e-03,-4.44,-4.52
-1.86688e-03,-4.44,-4.36
-1.86672e-03,-4.44,-4.52
-1.86656e-03,-4.44,-4.36
-1.86640e-03,-4.44,-4.52
-1.86624e-03,-4.44,-4.36
-1.86608e-03,-4.44,-4.44
-1.86592e-03,-4.44,-4.36
-1.86576e-03,-4.44,-4.52
-1.86560e-03,-4.44,-4.36
-1.86544e-03,-4.44,-4.52
-1.86528e-03,-4.44,-4.36
-1.86512e-03,-4.44,-4.52
-1.86496e-03,-4.44,-4.36
-1.86480e-03,-4.36,-4.52
-1.86464e-03,-4.36,-4.36
-1.86448e-03,-4.36,-4.44
-1.86432e-03,-4.28,-4.28
-1.86416e-03,-4.28,-4.44
-1.86400e-03,-4.28,-4.28
-1.86384e-03,-4.28,-4.36
-1.86368e-03,-4.28,-4.2
-1.86352e-03,-4.2,-4.36
-1.86336e-03,-4.2,-4.2
-1.86320e-03,-4.2,-4.28
-1.86304e-03,-4.2,-4.2
-1.86288e-03,-4.2,-4.28
-1.86272e-03,-4.2,-4.12
-1.86256e-03,-4.12,-4.28
-1.86240e-03,-4.12,-4.12
-1.86224e-03,-4.12,-4.2
-1.86208e-03,-4.12,-4.04
-1.86192e-03,-4.12,-4.2
-1.86176e-03,-4.12,-4.04
-1.86160e-03,-4.12,-4.2
-1.86144e-03,-4.04,-4.04
-1.86128e-03,-4.04,-4.2
-1.86112e-03,-4.04,-3.96
-1.86096e-03,-4.04,-4.12
-1.86080e-03,-4.04,-4.04
-1.86064e-03,-4.04,-4.12
-1.86048e-03,-3.96,-3.96
-1.86032e-03,-3.96,-4.04
-1.86016e-03,-3.96,-3.88
-1.86000e-03,-3.96,-4.04
-1.85984e-03,-3.96,-3.88
-1.85968e-03,-3.96,-4.04
-1.85952e-03,-3.96,-3.88
-1.85936e-03,-3.96,-4.04
-1.85920e-03,-3.96,-3.88
-1.85904e-03,-3.96,-3.96
-1.85888e-03,-3.96,-3.88
-1.85872e-03,-3.96,-4.04
-1.85856e-03,-3.96,-3.88
-1.85840e-03,-3.96,-4.04
-1.85824e-03,-3.96,-3.88
-1.85808e-03,-3.96,-4.04
-1.85792e-03,-4.04,-3.88
-1.85776e-03,-4.04,-4.04
-1.85760e-03,-4.04,-3.96
-1.85744e-03,-4.04,-4.04
-1.85728e-03,-4.12,-3.96
-1.85712e-03,-4.12,-4.12
-1.85696e-03,-4.12,-4.04
-1.85680e-03,-4.12,-4.2
-1.85664e-03,-4.12,-4.04
-1.85648e-03,-4.12,-4.2
-1.85632e-03,-4.12,-4.04
-1.85616e-03,-4.12,-4.28
-1.85600e-03,-4.12,-4.12
-1.85584e-03,-4.12,-4.2
-1.85568e-03,-4.2,-4.04
-1.85552e-03,-4.2,-4.2
-1.85536e-03,-4.2,-4.12
-1.85520e-03,-4.2,-4.2
-1.85504e-03,-4.2,-4.04
-1.85488e-03,-4.2,-4.28
-1.85472e-03,-4.2,-4.12
-1.85456e-03,-4.2,-4.28
-1.85440e-03,-4.2,-4.12
-1.85424e-03,-4.2,-4.28
-1.85408e-03,-4.2,-4.12
-1.85392e-03,-4.2,-4.28
-1.85376e-03,-4.2,-4.2
-1.85360e-03,-4.2,-4.28
-1.85344e-03,-4.28,-4.12
-1.85328e-03,-4.28,-4.36
-1.85312e-03,-4.28,-4.2
-1.85296e-03,-4.28,-4.36
-1.85280e-03,-4.28,-4.2
-1.85264e-03,-4.28,-4.36
-1.85248e-03,-4.28,-4.2
-1.85232e-03,-4.2,-4.28
-1.85216e-03,-4.2,-4.2
-1.85200e-03,-4.2,-4.28
-1.85184e-03,-4.2,-4.12
-1.85168e-03,-4.2,-4.28
-1.85152e-03,-4.2,-4.2
-1.85136e-03,-4.2,-4.28
-1.85120e-03,-4.2,-4.12
-1.85104e-03,-4.2,-4.28
-1.85088e-03,-4.2,-4.12
-1.85072e-03,-4.2,-4.28
-1.85056e-03,-4.12,-4.12
-1.85040e-03,-4.12,-4.2
-1.85024e-03,-4.12,-4.04
-1.85008e-03,-4.12,-4.2
-1.84992e-03,-4.12,-4.04
