Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,3.84025e-06,
Filter Frequency,290000,
Record Length,5207,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,2,
Label,,
TIME,CH1,CH1 Peak Detect
-1.2579e-03,-3.76,-4.08
-1.2540e-03,-4,-3.68
-1.2502e-03,-3.84,-4.16
-1.2464e-03,-4,-3.76
-1.2425e-03,-4,-4.32
-1.2387e-03,-4.08,-3.84
-1.2348e-03,-4.24,-4.32
-1.2310e-03,-4.08,-3.84
-1.2272e-03,-4.08,-4.56
-1.2233e-03,-4.4,-4
-1.2195e-03,-4.32,-4.4
-1.2156e-03,-4.08,-3.6
-1.2118e-03,-3.68,-4.24
-1.2080e-03,-3.76,-3.52
-1.2041e-03,-4.24,-4.4
-1.2003e-03,-4.32,-4.16
-1.1964e-03,-4.32,-4.4
-1.1926e-03,-4,-3.68
-1.1888e-03,-3.76,-4.24
-1.1849e-03,-4.16,-3.68
-1.1811e-03,-4.08,-4.32
-1.1772e-03,-4,-3.84
-1.1734e-03,-4.24,-4.4
-1.1696e-03,-4.24,-3.92
-1.1657e-03,-3.92,-4
-1.1619e-03,-3.76,-3.6
-1.1580e-03,-3.92,-4.24
-1.1542e-03,-4.08,-3.84
-1.1504e-03,-4.08,-4.16
-1.1465e-03,-4,-3.84
-1.1427e-03,-4.08,-4.4
-1.1388e-03,-4.16,-4
-1.1350e-03,-4.24,-4.4
-1.1312e-03,-4.08,-3.68
-1.1273e-03,-3.76,-4.48
-1.1235e-03,-4.08,-3.76
-1.1196e-03,-4.4,-4.56
-1.1158e-03,-4.16,-3.68
-1.1120e-03,-3.76,-4.32
-1.1081e-03,-3.84,-3.6
-1.1043e-03,-4.32,-4.56
-1.1004e-03,-4.48,-4.08
-1.0966e-03,-4.08,-4.16
-1.0927e-03,-3.84,-3.68
-1.0889e-03,-3.76,-4.16
-1.0851e-03,-4,-3.68
-1.0812e-03,-4.08,-4.16
-1.0774e-03,-4,-3.84
-1.0735e-03,-3.92,-4.48
-1.0697e-03,-4,-3.84
-1.0659e-03,-4.4,-4.48
-1.0620e-03,-4.16,-3.84
-1.0582e-03,-3.92,-4.4
-1.0543e-03,-4.32,-3.84
-1.0505e-03,-4.24,-4.32
-1.0467e-03,-4,-3.84
-1.0428e-03,-4,-4.08
-1.0390e-03,-4,-3.84
-1.0351e-03,-3.92,-4.48
-1.0313e-03,-4.16,-3.84
-1.0275e-03,-4.4,-4.56
-1.0236e-03,-4.48,-4.24
-1.0198e-03,-4.32,-4.32
-1.0159e-03,-4.16,-4.08
-1.0121e-03,-4.16,-4.24
-1.0083e-03,-4,-3.92
-1.0044e-03,-4.08,-4.16
-1.0006e-03,-4.08,-3.92
-9.9674e-04,-4,-4.56
-9.9290e-04,-4.32,-3.92
-9.8906e-04,-4.4,-4.48
-9.8522e-04,-4.24,-4
-9.8138e-04,-4.16,-4.24
-9.7754e-04,-3.92,-3.6
-9.7370e-04,-3.6,-4.08
-9.6986e-04,-3.76,-3.52
-9.6602e-04,-4,-4.56
-9.6218e-04,-4.4,-3.92
-9.5834e-04,-4.4,-4.48
-9.5450e-04,-4.08,-3.76
-9.5066e-04,-3.76,-4.16
-9.4682e-04,-3.76,-3.6
-9.4298e-04,-4.16,-4.24
-9.3914e-04,-4,-3.52
-9.3530e-04,-3.6,-4.08
-9.3146e-04,-3.68,-3.44
-9.2762e-04,-4.08,-4.16
-9.2378e-04,-4,-3.76
-9.1994e-04,-3.76,-3.84
-9.1610e-04,-3.76,-3.52
-9.1226e-04,-3.6,-4
-9.0842e-04,-3.84,-3.52
-9.0458e-04,-4,-4.16
-9.0074e-04,-4,-3.84
-8.9690e-04,-3.92,-4
-8.9306e-04,-3.92,-3.76
-8.8922e-04,-3.84,-4.72
-8.8538e-04,-4.16,-3.76
-8.8154e-04,-4.64,-4.72
-8.7770e-04,-4.64,-4.56
-8.7386e-04,-4.56,-4.8
-8.7002e-04,-4.72,-4.4
-8.6618e-04,-4.48,-4.56
-8.6233e-04,-4.32,-4.16
-8.5849e-04,-4.24,-4.32
-8.5465e-04,-4.24,-4.08
-8.5081e-04,-4.16,-4.32
-8.4697e-04,-4,-3.84
-8.4313e-04,-3.92,-4.56
-8.3929e-04,-4.08,-3.84
-8.3545e-04,-4.48,-4.56
-8.3161e-04,-4.24,-4
-8.2777e-04,-4.08,-4.24
-8.2393e-04,-4.16,-4
-8.2009e-04,-4.08,-4.4
-8.1625e-04,-4.08,-3.92
-8.1241e-04,-4.32,-4.56
-8.0857e-04,-4.4,-4.24
-8.0473e-04,-4.48,-4.56
-8.0089e-04,-4.24,-3.76
-7.9705e-04,-3.84,-4.08
-7.9321e-04,-3.84,-3.68
-7.8937e-04,-4,-4.08
-7.8553e-04,-4,-3.84
-7.8169e-04,-4,-4.08
-7.7785e-04,-3.84,-3.6
-7.7401e-04,-3.68,-4.08
-7.7017e-04,-3.68,-3.52
-7.6633e-04,-4,-4.32
-7.6249e-04,-4.24,-3.84
-7.5865e-04,-3.92,-4
-7.5481e-04,-3.84,-3.6
-7.5097e-04,-3.76,-4.32
-7.4713e-04,-4,-3.68
-7.4329e-04,-4.24,-4.32
-7.3945e-04,-4.08,-4
-7.3561e-04,-4.16,-4.32
-7.3177e-04,-4,-3.84
-7.2793e-04,-3.92,-4.08
-7.2409e-04,-3.84,-3.68
-7.2025e-04,-3.92,-4.08
-7.1641e-04,-3.92,-3.84
-7.1257e-04,-4,-4.16
-7.0873e-04,-3.84,-3.52
-7.0488e-04,-3.68,-4.4
-7.0104e-04,-4.08,-3.6
-6.9720e-04,-4.32,-4.48
-6.9336e-04,-4.32,-4.24
-6.8952e-04,-4.32,-4.4
-6.8568e-04,-4.08,-4
-6.8184e-04,-4.08,-4.56
-6.7800e-04,-4.48,-4
-6.7416e-04,-4.48,-4.48
-6.7032e-04,-4.08,-3.76
-6.6648e-04,-3.84,-4.64
-6.6264e-04,-4.16,-3.76
-6.5880e-04,-4.56,-4.64
-6.5496e-04,-4.48,-4
-6.5112e-04,-4.08,-4.32
-6.4728e-04,-4.16,-4
-6.4344e-04,-4.16,-4.4
-6.3960e-04,-4.08,-4
-6.3576e-04,-4.4,-4.48
-6.3192e-04,-4.32,-3.92
-6.2808e-04,-4,-4.08
-6.2424e-04,-3.68,-3.6
-6.2040e-04,-3.84,-4
-6.1656e-04,-3.92,-3.76
-6.1272e-04,-4,-4.16
-6.0888e-04,-4.08,-3.92
-6.0504e-04,-4.08,-4.32
-6.0120e-04,-4.16,-3.76
-5.9736e-04,-3.84,-4.4
-5.9352e-04,-3.84,-3.6
-5.8968e-04,-4.32,-4.56
-5.8584e-04,-4.48,-4.24
-5.8200e-04,-4.32,-4.4
-5.7816e-04,-4.16,-4
-5.7432e-04,-4.24,-4.32
-5.7048e-04,-4.16,-4
-5.6664e-04,-4,-4.4
-5.6280e-04,-4,-3.92
-5.5896e-04,-4.32,-4.56
-5.5512e-04,-4.32,-3.92
-5.5127e-04,-3.92,-4.08
-5.4743e-04,-3.68,-3.6
-5.4359e-04,-4,-4.16
-5.3975e-04,-4,-3.84
-5.3591e-04,-4,-4.48
-5.3207e-04,-4.32,-3.92
-5.2823e-04,-4.24,-4.32
-5.2439e-04,-4.08,-4
-5.2055e-04,-4,-4.16
-5.1671e-04,-4,-3.76
-5.1287e-04,-3.84,-4.24
-5.0903e-04,-3.84,-3.6
-5.0519e-04,-4.24,-4.4
-5.0135e-04,-4.24,-4.08
-4.9751e-04,-4.16,-4.24
-4.9367e-04,-4.08,-4
-4.8983e-04,-4.08,-4.08
-4.8599e-04,-3.76,-3.36
-4.8215e-04,-3.52,-4.08
-4.7831e-04,-3.84,-3.44
-4.7447e-04,-3.84,-3.92
-4.7063e-04,-3.52,-3.36
-4.6679e-04,-3.52,-4.08
-4.6295e-04,-3.76,-3.44
-4.5911e-04,-3.92,-4
-4.5527e-04,-3.84,-3.68
-4.5143e-04,-3.84,-4.16
-4.4759e-04,-3.92,-3.76
-4.4375e-04,-4.08,-4.32
-4.3991e-04,-4.16,-3.92
-4.3607e-04,-4.24,-4.4
-4.3223e-04,-4.24,-4.16
-4.2839e-04,-4.32,-4.4
-4.2455e-04,-4,-3.6
-4.2071e-04,-3.68,-4.16
-4.1687e-04,-3.84,-3.6
-4.1303e-04,-4.08,-4.16
-4.0919e-04,-4,-3.76
-4.0535e-04,-3.84,-4.4
-4.0151e-04,-4.08,-3.76
-3.9767e-04,-4.32,-4.4
-3.9382e-04,-4.24,-4.08
-3.8998e-04,-4.08,-4.4
-3.8614e-04,-4.32,-4
-3.8230e-04,-4.24,-4.64
-3.7846e-04,-4.32,-4.08
-3.7462e-04,-4.56,-4.64
-3.7078e-04,-4.48,-4.32
-3.6694e-04,-4.48,-4.56
-3.6310e-04,-4.4,-4.24
-3.5926e-04,-4.4,-4.56
-3.5542e-04,-4.4,-3.92
-3.5158e-04,-4,-4.32
-3.4774e-04,-4,-3.84
-3.4390e-04,-4.24,-4.48
-3.4006e-04,-4.4,-4.16
-3.3622e-04,-4.4,-4.48
-3.3238e-04,-4.24,-4
-3.2854e-04,-4.08,-4.16
-3.2470e-04,-4,-3.92
-3.2086e-04,-4,-4.16
-3.1702e-04,-3.92,-3.68
-3.1318e-04,-3.76,-3.92
-3.0934e-04,-3.76,-3.6
-3.0550e-04,-3.84,-4
-3.0166e-04,-3.84,-3.76
-2.9782e-04,-3.92,-4.24
-2.9398e-04,-4.16,-3.84
-2.9014e-04,-4,-4.32
-2.8630e-04,-4.16,-3.92
-2.8246e-04,-4.16,-4.24
-2.7862e-04,-3.92,-3.84
-2.7478e-04,-3.92,-4
-2.7094e-04,-3.92,-3.76
-2.6710e-04,-3.92,-4.16
-2.6326e-04,-4.08,-3.84
-2.5942e-04,-4,-4.16
-2.5558e-04,-3.92,-3.76
-2.5174e-04,-4.08,-4.08
-2.4790e-04,-3.92,-3.76
-2.4406e-04,-3.84,-4.24
-2.4022e-04,-4,-3.76
-2.3637e-04,-4.16,-4.24
-2.3253e-04,-4.08,-3.92
-2.2869e-04,-4,-4.4
-2.2485e-04,-4.08,-3.92
-2.2101e-04,-4.32,-4.56
-2.1717e-04,-4.4,-4
-2.1333e-04,-4.08,-4.16
-2.0949e-04,-3.84,-3.76
-2.0565e-04,-4.08,-4.48
-2.0181e-04,-4.16,-4
-1.9797e-04,-4.4,-4.48
-1.9413e-04,-4.24,-3.92
-1.9029e-04,-4,-4.56
-1.8645e-04,-4.16,-3.92
-1.8261e-04,-4.48,-4.64
-1.7877e-04,-4.48,-4.32
-1.7493e-04,-4.4,-4.56
-1.7109e-04,-4.48,-4.32
-1.6725e-04,-4.4,-4.48
-1.6341e-04,-4.24,-4.16
-1.5957e-04,-4.24,-4.32
-1.5573e-04,-4,-3.92
-1.5189e-04,-4,-4.16
-1.4805e-04,-3.92,-3.6
-1.4421e-04,-3.68,-4.08
-1.4037e-04,-3.76,-3.6
-1.3653e-04,-4,-4.56
-1.3269e-04,-4.4,-3.92
-1.2885e-04,-4.32,-4.4
-1.2501e-04,-4.08,-3.92
-1.2117e-04,-4.08,-4.24
-1.1733e-04,-4,-3.76
-1.1349e-04,-3.76,-4.16
-1.0965e-04,-3.84,-3.68
-1.0581e-04,-4.16,-4.56
-1.0197e-04,-4.48,-4.08
-9.8126e-05,-4.48,-4.64
-9.4286e-05,-4.4,-4.08
-9.0445e-05,-4.16,-4.32
-8.6605e-05,-4.24,-4.08
-8.2765e-05,-4.08,-4.32
-7.8925e-05,-4,-3.92
-7.5084e-05,-4.24,-4.32
-7.1244e-05,-4.08,-3.92
-6.7404e-05,-4,-4.32
-6.3564e-05,-4,-3.84
-5.9724e-05,-4.24,-4.4
-5.5883e-05,-4.24,-3.84
-5.2043e-05,-3.92,-4.08
-4.8203e-05,-3.92,-3.76
-4.4363e-05,-4.08,-4.48
-4.0522e-05,-4.16,-4
-3.6682e-05,-4.4,-4.48
-3.2842e-05,-4.32,-4.16
-2.9002e-05,-4.24,-4.4
-2.5161e-05,-4.24,-4.08
-2.1321e-05,-4.24,-4.32
-1.7481e-05,-4,-3.92
-1.3641e-05,-4.24,-4.4
-9.8003e-06,-4.24,-4
-5.9601e-06,-4.08,-4.32
-2.1198e-06,-4,-3.92
1.7204e-06,-4.24,-9.04
5.5607e-06,-4.24,-4
9.4009e-06,-8.96,-9.04
1.3241e-05,-9.04,-9.04
1.7081e-05,-9.04,-9.04
2.0922e-05,-9.04,-9.04
2.4762e-05,-9.04,-9.04
2.8602e-05,-9.04,-9.04
3.2442e-05,-9.04,-9.04
3.6283e-05,-9.04,11.28
4.0123e-05,8.64,6.8
4.3963e-05,11.28,11.28
4.7803e-05,6.64,-0.56
