Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,1.92012e-06,
Filter Frequency,290000,
Record Length,5207,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,2,
Label,,
TIME,CH1,CH1 Peak Detect
-6.200e-04,-4.48,-4.64
-6.181e-04,-4.56,-4.32
-6.162e-04,-4.48,-4.56
-6.142e-04,-4.4,-4.32
-6.123e-04,-4.4,-4.48
-6.104e-04,-4.4,-4.24
-6.085e-04,-4.32,-4.64
-6.066e-04,-4.4,-4.32
-6.046e-04,-4.56,-4.88
-6.027e-04,-4.64,-4.56
-6.008e-04,-4.8,-4.88
-5.989e-04,-4.64,-4.24
-5.970e-04,-4.4,-4.4
-5.950e-04,-4.16,-4
-5.931e-04,-4.08,-4.24
-5.912e-04,-4.08,-4
-5.893e-04,-4.16,-4.32
-5.874e-04,-4.24,-4.08
-5.854e-04,-4.24,-4.32
-5.835e-04,-4.24,-4.08
-5.816e-04,-4.16,-4.24
-5.797e-04,-4.16,-4.08
-5.778e-04,-4.16,-4.32
-5.758e-04,-4.16,-4
-5.739e-04,-4.24,-4.32
-5.720e-04,-4.24,-4.16
-5.701e-04,-4.24,-4.48
-5.682e-04,-4.32,-4.16
-5.662e-04,-4.4,-4.48
-5.643e-04,-4.4,-4.16
-5.624e-04,-4.32,-4.32
-5.605e-04,-4.16,-4.08
-5.586e-04,-4.24,-4.48
-5.566e-04,-4.32,-4.16
-5.547e-04,-4.4,-4.48
-5.528e-04,-4.4,-4.24
-5.509e-04,-4.32,-4.4
-5.490e-04,-4.24,-4.08
-5.470e-04,-4.16,-4.24
-5.451e-04,-4.16,-4
-5.432e-04,-4.08,-4.32
-5.413e-04,-4.16,-4.08
-5.394e-04,-4.16,-4.16
-5.374e-04,-4,-3.84
-5.355e-04,-3.92,-4
-5.336e-04,-3.84,-3.76
-5.317e-04,-3.92,-4.16
-5.298e-04,-4,-3.84
-5.278e-04,-4.08,-4.24
-5.259e-04,-4.08,-4
-5.240e-04,-4.16,-4.4
-5.221e-04,-4.16,-4.08
-5.202e-04,-4.32,-4.4
-5.182e-04,-4.24,-4.16
-5.163e-04,-4.24,-4.32
-5.144e-04,-4.16,-4
-5.125e-04,-4.08,-4.16
-5.106e-04,-4,-3.92
-5.086e-04,-4.08,-4.64
-5.067e-04,-4.24,-4.08
-5.048e-04,-4.48,-4.72
-5.029e-04,-4.64,-4.4
-5.010e-04,-4.56,-4.56
-4.990e-04,-4.32,-4.16
-4.971e-04,-4.24,-4.48
-4.952e-04,-4.24,-4.16
-4.933e-04,-4.32,-4.56
-4.914e-04,-4.48,-4.32
-4.894e-04,-4.4,-4.48
-4.875e-04,-4.4,-4.24
-4.856e-04,-4.32,-4.48
-4.837e-04,-4.4,-4.24
-4.818e-04,-4.32,-4.4
-4.798e-04,-4.24,-4.16
-4.779e-04,-4.24,-4.32
-4.760e-04,-4.16,-4
-4.741e-04,-4.08,-4.16
-4.722e-04,-4.08,-4
-4.702e-04,-4.08,-4.4
-4.683e-04,-4.16,-4.08
-4.664e-04,-4.24,-4.4
-4.645e-04,-4.32,-4.24
-4.625e-04,-4.32,-4.64
-4.606e-04,-4.32,-4.24
-4.587e-04,-4.48,-4.72
-4.568e-04,-4.56,-4.48
-4.549e-04,-4.56,-4.72
-4.529e-04,-4.56,-4.48
-4.510e-04,-4.64,-4.72
-4.491e-04,-4.56,-4.32
-4.472e-04,-4.4,-4.56
-4.453e-04,-4.32,-4.24
-4.433e-04,-4.4,-4.64
-4.414e-04,-4.48,-4.4
-4.395e-04,-4.48,-4.48
-4.376e-04,-4.32,-4.16
-4.357e-04,-4.32,-4.32
-4.337e-04,-4.16,-3.92
-4.318e-04,-4.08,-4.08
-4.299e-04,-3.92,-3.68
-4.280e-04,-3.84,-4.08
-4.261e-04,-3.92,-3.76
-4.241e-04,-4,-4.24
-4.222e-04,-4.08,-3.92
-4.203e-04,-4.16,-4.24
-4.184e-04,-4.08,-3.92
-4.165e-04,-4,-4.24
-4.145e-04,-4,-3.92
-4.126e-04,-4.08,-4.32
-4.107e-04,-4.08,-4
-4.088e-04,-4.16,-4.48
-4.069e-04,-4.24,-4.16
-4.049e-04,-4.4,-4.64
-4.030e-04,-4.56,-4.32
-4.011e-04,-4.56,-4.56
-3.992e-04,-4.4,-4.16
-3.973e-04,-4.24,-4.32
-3.953e-04,-4.16,-4
-3.934e-04,-4.08,-4.16
-3.915e-04,-4,-3.84
-3.896e-04,-4,-4
-3.877e-04,-3.84,-3.68
-3.857e-04,-3.76,-4
-3.838e-04,-3.76,-3.68
-3.819e-04,-3.92,-4.32
-3.800e-04,-4.08,-3.92
-3.781e-04,-4.24,-4.4
-3.761e-04,-4.32,-4.16
-3.742e-04,-4.32,-4.48
-3.723e-04,-4.4,-4.24
-3.704e-04,-4.4,-4.48
-3.685e-04,-4.4,-4.16
-3.665e-04,-4.24,-4.32
-3.646e-04,-4.16,-4.08
-3.627e-04,-4.16,-4.24
-3.608e-04,-4.16,-3.92
-3.589e-04,-4.08,-4.08
-3.569e-04,-3.84,-3.76
-3.550e-04,-3.84,-4
-3.531e-04,-3.84,-3.68
-3.512e-04,-3.92,-4.08
-3.493e-04,-4,-3.84
-3.473e-04,-4,-4.24
-3.454e-04,-4.08,-3.92
-3.435e-04,-4.08,-4.24
-3.416e-04,-4.08,-4
-3.397e-04,-4.16,-4.64
-3.377e-04,-4.32,-4.08
-3.358e-04,-4.48,-4.64
-3.339e-04,-4.56,-4.32
-3.320e-04,-4.48,-4.48
-3.301e-04,-4.32,-4
-3.281e-04,-4.16,-4.24
-3.262e-04,-4.08,-4
-3.243e-04,-4.16,-4.56
-3.224e-04,-4.24,-4.08
-3.205e-04,-4.4,-4.64
-3.185e-04,-4.56,-4.4
-3.166e-04,-4.48,-4.56
-3.147e-04,-4.48,-4.32
-3.128e-04,-4.4,-4.56
-3.109e-04,-4.4,-4.24
-3.089e-04,-4.32,-4.48
-3.070e-04,-4.4,-4.24
-3.051e-04,-4.4,-4.64
-3.032e-04,-4.56,-4.4
-3.013e-04,-4.48,-4.48
-2.993e-04,-4.24,-4
-2.974e-04,-4.08,-4.08
-2.955e-04,-3.92,-3.84
-2.936e-04,-3.92,-4.32
-2.917e-04,-4.08,-3.84
-2.897e-04,-4.16,-4.64
-2.878e-04,-4.32,-4.16
-2.859e-04,-4.56,-4.64
-2.840e-04,-4.56,-4.32
-2.821e-04,-4.48,-4.48
-2.801e-04,-4.4,-4.16
-2.782e-04,-4.32,-4.48
-2.763e-04,-4.32,-4.24
-2.744e-04,-4.4,-4.48
-2.725e-04,-4.4,-4.32
-2.705e-04,-4.4,-4.72
-2.686e-04,-4.56,-4.4
-2.667e-04,-4.56,-4.72
-2.648e-04,-4.56,-4.48
-2.629e-04,-4.64,-4.72
-2.609e-04,-4.56,-4.4
-2.590e-04,-4.48,-4.56
-2.571e-04,-4.4,-4.24
-2.552e-04,-4.32,-4.48
