Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.2,
Sample Interval,1.6e-05,
Filter Frequency,275000,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,2,
Label,,
TIME,CH1,CH1 Peak Detect
-1.88000e-01,-3.92,-3.68
-1.87984e-01,-4.24,-5.04
-1.87968e-01,-4.32,-3.76
-1.87952e-01,-4.24,-4.56
-1.87936e-01,-4.16,-3.76
-1.87920e-01,-3.92,-4.56
-1.87904e-01,-3.84,-3.92
-1.87888e-01,-4.24,-4.32
-1.87872e-01,-4.16,-3.68
-1.87856e-01,-4.32,-4.48
-1.87840e-01,-4.64,-3.68
-1.87824e-01,-4.24,-4.8
-1.87808e-01,-4.24,-4.08
-1.87792e-01,-3.92,-4.64
-1.87776e-01,-4.24,-3.84
-1.87760e-01,-3.84,-4.48
-1.87744e-01,-3.36,-3.76
-1.87728e-01,-4.24,-4.32
-1.87712e-01,-4.48,-3.28
-1.87696e-01,-4.08,-4.64
-1.87680e-01,-4.56,-3.44
-1.87664e-01,-4.16,-4.72
-1.87648e-01,-4.16,-3.92
-1.87632e-01,-4.08,-4.48
-1.87616e-01,-4.4,-3.76
-1.87600e-01,-4.16,-4.56
-1.87584e-01,-3.68,-3.76
-1.87568e-01,-4.08,-4.56
-1.87552e-01,-4.64,-3.52
-1.87536e-01,-4.24,-4.88
-1.87520e-01,-4.48,-3.52
-1.87504e-01,-4.72,-4.72
-1.87488e-01,-3.84,-3.84
-1.87472e-01,-4.16,-4.8
-1.87456e-01,-3.76,-3.68
-1.87440e-01,-3.92,-4.4
-1.87424e-01,-4.08,-3.6
-1.87408e-01,-3.92,-4.32
-1.87392e-01,-4.24,-3.52
-1.87376e-01,-4.32,-4.48
-1.87360e-01,-4.48,-3.76
-1.87344e-01,-4.48,-4.64
-1.87328e-01,-4.16,-4.08
-1.87312e-01,-3.92,-4.72
-1.87296e-01,-4.32,-4
-1.87280e-01,-4,-4.48
