Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,3.84025e-06,
Filter Frequency,290000,
Record Length,5208,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,2,
Label,,
TIME,CH1,CH1 Peak Detect
-1.9200e-03,-4.32,-4.4
-1.9162e-03,-4.24,-4.16
-1.9123e-03,-4.32,-4.64
-1.9085e-03,-4.56,-4.24
-1.9046e-03,-4.4,-4.48
-1.9008e-03,-4.16,-3.84
-1.8970e-03,-3.92,-4.24
-1.8931e-03,-4.16,-3.84
-1.8893e-03,-4,-4.08
-1.8854e-03,-4,-3.84
-1.8816e-03,-4.08,-4.08
-1.8778e-03,-3.84,-3.68
-1.8739e-03,-3.76,-4.4
-1.8701e-03,-4,-3.68
-1.8662e-03,-4.32,-4.72
-1.8624e-03,-4.64,-4.24
-1.8586e-03,-4.48,-4.56
-1.8547e-03,-4.24,-4
-1.8509e-03,-4.08,-4.24
-1.8470e-03,-3.92,-3.84
-1.8432e-03,-4.24,-4.4
-1.8394e-03,-4.32,-4.16
-1.8355e-03,-4.24,-4.56
-1.8317e-03,-4.4,-4.24
-1.8278e-03,-4.4,-4.48
-1.8240e-03,-4.24,-4
-1.8202e-03,-4.08,-4.32
-1.8163e-03,-4.24,-4
-1.8125e-03,-4.16,-4.32
-1.8086e-03,-4.24,-4.08
-1.8048e-03,-4.24,-4.32
-1.8010e-03,-4.16,-3.92
-1.7971e-03,-4,-4.24
-1.7933e-03,-4,-3.84
-1.7894e-03,-4.16,-4.4
-1.7856e-03,-4.32,-4.08
-1.7818e-03,-4.32,-4.4
-1.7779e-03,-4.08,-4
-1.7741e-03,-4.32,-4.48
-1.7702e-03,-4.4,-4.24
-1.7664e-03,-4.4,-4.64
-1.7625e-03,-4.4,-4.32
-1.7587e-03,-4.56,-4.72
-1.7549e-03,-4.56,-4.24
-1.7510e-03,-4.32,-4.32
-1.7472e-03,-4.08,-4
-1.7433e-03,-4.16,-4.4
-1.7395e-03,-4.16,-4.08
-1.7357e-03,-4.32,-4.96
-1.7318e-03,-4.88,-4.32
-1.7280e-03,-4.64,-4.72
-1.7241e-03,-4.32,-4.24
-1.7203e-03,-4.24,-4.48
-1.7165e-03,-4.32,-4.16
-1.7126e-03,-4.32,-4.32
-1.7088e-03,-4,-3.84
-1.7049e-03,-3.92,-4.56
-1.7011e-03,-4.4,-3.84
-1.6973e-03,-4.48,-4.64
-1.6934e-03,-4.48,-4.32
-1.6896e-03,-4.4,-4.48
-1.6857e-03,-4.16,-4
-1.6819e-03,-4.16,-4.56
-1.6781e-03,-4.32,-4.08
-1.6742e-03,-4.48,-4.48
-1.6704e-03,-4.08,-3.92
-1.6665e-03,-4.16,-4.4
-1.6627e-03,-4.32,-4.08
-1.6589e-03,-4.24,-4.4
-1.6550e-03,-4.16,-4.08
-1.6512e-03,-4.32,-4.48
-1.6473e-03,-4.4,-4.24
-1.6435e-03,-4.32,-4.4
-1.6397e-03,-4.16,-4
-1.6358e-03,-4.16,-4.32
-1.6320e-03,-4.16,-3.92
-1.6281e-03,-4.16,-4.72
-1.6243e-03,-4.32,-4.08
-1.6205e-03,-4.64,-4.64
-1.6166e-03,-4.48,-4.32
-1.6128e-03,-4.48,-4.64
-1.6089e-03,-4.56,-4.4
-1.6051e-03,-4.56,-4.64
-1.6013e-03,-4.24,-4
-1.5974e-03,-4.08,-4.32
-1.5936e-03,-4.24,-4
-1.5897e-03,-4.08,-4.16
-1.5859e-03,-4,-3.76
-1.5821e-03,-4,-4.24
-1.5782e-03,-4.08,-3.84
-1.5744e-03,-3.92,-4.08
-1.5705e-03,-3.84,-3.76
-1.5667e-03,-4,-4.4
-1.5629e-03,-4.08,-3.92
-1.5590e-03,-4.32,-4.64
-1.5552e-03,-4.48,-4.24
-1.5513e-03,-4.56,-4.64
-1.5475e-03,-4.56,-4.4
-1.5437e-03,-4.48,-4.56
-1.5398e-03,-4.24,-3.84
-1.5360e-03,-3.92,-4
-1.5321e-03,-3.76,-3.68
-1.5283e-03,-3.92,-4.64
-1.5245e-03,-4.32,-3.84
-1.5206e-03,-4.56,-4.64
-1.5168e-03,-4.48,-4.24
-1.5129e-03,-4.32,-4.64
-1.5091e-03,-4.56,-4.24
-1.5053e-03,-4.32,-4.4
-1.5014e-03,-4.16,-4.08
-1.4976e-03,-4.32,-4.88
-1.4937e-03,-4.56,-4.24
-1.4899e-03,-4.8,-4.96
-1.4861e-03,-4.72,-4.4
-1.4822e-03,-4.4,-4.48
-1.4784e-03,-4.08,-3.92
-1.4745e-03,-3.92,-4.24
-1.4707e-03,-4,-3.84
-1.4669e-03,-4.24,-4.32
-1.4630e-03,-4.16,-4.08
-1.4592e-03,-4.24,-4.32
-1.4553e-03,-4.16,-3.84
-1.4515e-03,-3.92,-4.4
-1.4476e-03,-4.08,-3.76
-1.4438e-03,-4.4,-4.48
-1.4400e-03,-4.32,-4.08
-1.4361e-03,-4.16,-4.48
-1.4323e-03,-4.24,-4
-1.4284e-03,-4.4,-4.48
-1.4246e-03,-4.32,-4.16
-1.4208e-03,-4.4,-4.96
-1.4169e-03,-4.56,-4.32
-1.4131e-03,-4.88,-5.04
-1.4092e-03,-4.8,-4.32
-1.4054e-03,-4.4,-4.4
-1.4016e-03,-4,-3.92
-1.3977e-03,-4.08,-4.16
-1.3939e-03,-4.08,-3.92
-1.3900e-03,-4,-4.4
-1.3862e-03,-4.24,-3.92
-1.3824e-03,-4.32,-4.4
-1.3785e-03,-4.08,-3.76
-1.3747e-03,-3.84,-4.16
-1.3708e-03,-3.84,-3.68
-1.3670e-03,-4.08,-4.4
-1.3632e-03,-4.32,-4.08
-1.3593e-03,-4.32,-4.4
-1.3555e-03,-4.16,-3.92
-1.3516e-03,-4,-4.24
-1.3478e-03,-4.08,-3.84
-1.3440e-03,-4.16,-4.24
-1.3401e-03,-4.08,-3.92
-1.3363e-03,-4.16,-4.4
-1.3324e-03,-4.16,-4.08
-1.3286e-03,-4.32,-4.4
-1.3248e-03,-4.24,-4.08
-1.3209e-03,-4.16,-4.24
-1.3171e-03,-4.08,-3.84
-1.3132e-03,-4.08,-4.4
-1.3094e-03,-4.24,-4
-1.3056e-03,-4.32,-4.56
-1.3017e-03,-4.4,-4.24
-1.2979e-03,-4.48,-4.56
-1.2940e-03,-4.32,-4.16
-1.2902e-03,-4.24,-4.32
-1.2864e-03,-4.08,-4
-1.2825e-03,-4.24,-4.4
-1.2787e-03,-4.24,-4.16
-1.2748e-03,-4.32,-4.8
-1.2710e-03,-4.64,-4.24
-1.2672e-03,-4.64,-4.72
-1.2633e-03,-4.48,-4.08
-1.2595e-03,-4.16,-4.24
-1.2556e-03,-4.16,-4.08
-1.2518e-03,-4.08,-4.24
-1.2480e-03,-4,-3.92
-1.2441e-03,-4.08,-4.24
-1.2403e-03,-4.16,-4
-1.2364e-03,-4.16,-4.32
-1.2326e-03,-4,-3.68
-1.2288e-03,-3.84,-4.16
-1.2249e-03,-3.92,-3.76
-1.2211e-03,-4.08,-4.24
-1.2172e-03,-3.92,-3.6
-1.2134e-03,-3.68,-3.76
-1.2096e-03,-3.44,-3.36
-1.2057e-03,-3.76,-4.32
-1.2019e-03,-4.16,-3.68
-1.1980e-03,-4.16,-4.32
-1.1942e-03,-4.16,-4
-1.1904e-03,-4.24,-4.4
-1.1865e-03,-4.24,-4.16
